Question,Answer,Latitude,Longitude,Altitude,Accuracy,Altitude Accuracy,Heading,Speed,Timestamp,TeamId,DeviceType,DeviceId
20,D,52.21999174240921,6.894385964903774,85.80241908405311,6,null,336.0653076171875,0,1377340516999,AAG06,android,69938477-962a-4da6-87f7-ce71c1d4de42
18,D,52.21997536962864,6.894273548552632,85.5354296107617,6,null,284.4100341796875,0,1377340537999,AAG06,android,69938477-962a-4da6-87f7-ce71c1d4de42
8,A,52.22083742,6.89546788,87.80000305175781,18,null,119.9000015258789,0.7071067690849304,1377336240859,AAG07,android,cf129e6a-7aa0-4492-81c5-e27b83aa2f68
18,D,52.2209655,6.89533217,76.4000015258789,5,null,299.79998779296875,0.5,1377336334000,AAG07,android,cf129e6a-7aa0-4492-81c5-e27b83aa2f68
24,1.00,52.21982103,6.89616456,85.80000305175781,39,null,null,0,1377336651000,AAG07,android,cf129e6a-7aa0-4492-81c5-e27b83aa2f68
6,blauw,52.21918674,6.89636853,95.0999984741211,5,null,null,0,1377336771000,AAG07,android,cf129e6a-7aa0-4492-81c5-e27b83aa2f68
8,A,52.220794677734375,6.8955302238464355,75,2.0808651447296143,null,0,0.3051804304122925,1377336240000,AAG07,android,e3339549-b424-4d84-8bad-7ab740047b3f
18,D,52.22091293334961,6.895444393157959,79,1.6401219367980957,null,315.2142333984375,0.7445715069770813,1377336318000,AAG07,android,e3339549-b424-4d84-8bad-7ab740047b3f
24,1.00,52.21975326538086,6.89617395401001,91,2.193171262741089,null,0,0,1377336577000,AAG07,android,e3339549-b424-4d84-8bad-7ab740047b3f
6,blauw,52.21918487548828,6.896367073059082,102,1.4866068363189697,null,0,0,1377336750000,AAG07,android,e3339549-b424-4d84-8bad-7ab740047b3f
1,C,52.218177795410156,6.896560192108154,92,2.0615530014038086,null,0,0,1377336987000,AAG07,android,e3339549-b424-4d84-8bad-7ab740047b3f
2,C,52.217567443847656,6.897783279418945,92,2.5495097637176514,null,0,0,1377337296000,AAG07,android,e3339549-b424-4d84-8bad-7ab740047b3f
3,A,52.217567443847656,6.897761821746826,92,1.5620499849319458,null,0,0,1377337362000,AAG07,android,e3339549-b424-4d84-8bad-7ab740047b3f
4,martin meijers,52.216922760009766,6.899392604827881,133,36.62308120727539,null,0,0,1377337634000,AAG07,android,e3339549-b424-4d84-8bad-7ab740047b3f
5,oranje,52.21663284301758,6.90265417098999,114,18.436105728149414,null,0,0,1377337951000,AAG07,android,e3339549-b424-4d84-8bad-7ab740047b3f
22,C,52.216590881347656,6.902632713317871,107,2.102379560470581,null,0,0,1377338169000,AAG07,android,e3339549-b424-4d84-8bad-7ab740047b3f
12,B,52.219871520996094,6.894371509552002,102,2.6076810359954834,null,286.80908203125,0.4296979606151581,1377339110000,AAG07,android,e3339549-b424-4d84-8bad-7ab740047b3f
13,dienst uitvoering onderwijs,52.21998977661133,6.894242763519287,94,2.5612497329711914,null,0,0,1377339146000,AAG07,android,e3339549-b424-4d84-8bad-7ab740047b3f
14,D,52.219970703125,6.894264221191406,91,2.780287742614746,null,37.9412841796875,0.32655733823776245,1377339202000,AAG07,android,e3339549-b424-4d84-8bad-7ab740047b3f
15,D,52.2199592590332,6.894285678863525,91,1.720465064048767,null,0,0,1377339222000,AAG07,android,e3339549-b424-4d84-8bad-7ab740047b3f
21,2000,52.2199592590332,6.894285678863525,91,1.720465064048767,null,0,0,1377339222000,AAG07,android,e3339549-b424-4d84-8bad-7ab740047b3f
19,C,52.2199592590332,6.894285678863525,91,1.6401219367980957,null,0,0,1377339245000,AAG07,android,e3339549-b424-4d84-8bad-7ab740047b3f
16,B,52.2199592590332,6.894285678863525,91,2.220360517501831,null,0,0,1377339258000,AAG07,android,e3339549-b424-4d84-8bad-7ab740047b3f
11,D,52.2199592590332,6.894285678863525,91,2.220360517501831,null,0,0,1377339258000,AAG07,android,e3339549-b424-4d84-8bad-7ab740047b3f
23,1.20,52.2199592590332,6.894285678863525,92,1.9416488409042358,null,0,0,1377339294000,AAG07,android,e3339549-b424-4d84-8bad-7ab740047b3f
9,C,52.2199592590332,6.894285678863525,92,1.6401219367980957,null,0,0,1377339305000,AAG07,android,e3339549-b424-4d84-8bad-7ab740047b3f
8,A,52.22083303334376,6.895513560682823,89.72452315738906,6,null,2.876309871673584,0,1377336290999,AAG07,android,fc39f6d2-ee77-4909-87a8-4670b4d24058
18,D,52.21979260550217,6.896162312832655,90.19069464860965,6,null,169.687744140625,0,1377336672999,AAG07,android,fc39f6d2-ee77-4909-87a8-4670b4d24058
24,1.00,52.21979414119215,6.896120363567029,90.97140143714402,12,null,266.7863464355469,0.6625211834907532,1377336685999,AAG07,android,fc39f6d2-ee77-4909-87a8-4670b4d24058
6,blauw,52.219209127230485,6.8963399949815365,98.23886298361877,8,null,348.38818359375,0,1377336788999,AAG07,android,fc39f6d2-ee77-4909-87a8-4670b4d24058
1,C,52.21819403355156,6.896638415151012,96.34488284858865,12,null,174.29107666015625,1.405437707901001,1377336985999,AAG07,android,fc39f6d2-ee77-4909-87a8-4670b4d24058
9,C,52.220959,6.89540215,86.5,15,null,null,0,1377336076000,AAG08,android,7a813379-3183-4779-96f0-8bac1f111826
23,1.50,52.22127469,6.89516623,86.30000305175781,10,null,null,0,1377336422000,AAG08,android,7a813379-3183-4779-96f0-8bac1f111826
